,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
0,1623269400919908352,2023-02-08 10:35:58+00:00,T_Coker_,@ZenithBank at least have the decency to send an email addressing the issues or apologizing for it at least. This is totally unacceptable,0,0,,Twitter for iPhone,False
1,1623269316383715328,2023-02-08 10:35:38+00:00,Demilad85741824,RT @freeword81: Zenith bank dor go collect yahoo boys money #ZenithBank https://t.co/GsgbIurCHY,10,0,United States of America 🇺🇸 ,Twitter for Android,False
2,1623269234573811714,2023-02-08 10:35:19+00:00,realFejiro,@Ofuregold1 @ZenithBank I used to use Zenith Bank too. My money is still stick there. So I just opened Kuda. It's didn't take long to set up.,0,1,,Twitter for Android,False
3,1623269181670977536,2023-02-08 10:35:06+00:00,AD2TALK,@cbn @ZenithBank what is going on that one can not make online transfer?,0,1,Lagos,Twitter for Android,False
4,1623269177204125697,2023-02-08 10:35:05+00:00,vlisventures,"Nigeria nd hypocrites chai why are d masses d problem of the Masses @cenbank 
@ZenithBank 
@vlisventures 
@newnairanotes
@UBAGroup",0,0,,Twitter for Android,False
5,1623269129569304584,2023-02-08 10:34:54+00:00,hakinola81,@Fashion_Hub4 @ZenithBank Service problem sir,0,1,,Twitter for Android,False
6,1623268981082554369,2023-02-08 10:34:18+00:00,irab_x,@aeykaey_bamalli @ZenithBank I pray they listen,0,0,Bermuda,Twitter for Android,False
7,1623268970923974658,2023-02-08 10:34:16+00:00,emmydsnazzy1,"Ah, Zenith Bank wona father.

#ZenithBank",0,0,Everywhere  U̶̲̥̅̊ go!!,Twitter for Android,False
8,1623268891802607617,2023-02-08 10:33:57+00:00,lordsirel,@ZenithBank check DM,0,0,Nigeria🇳🇬,Twitter for Android,False
9,1623268660084187136,2023-02-08 10:33:02+00:00,kaolin_justice,"Every single Nigerians will forever remember how @ZenithBank starved us to death by not allowing us to have access to our own money be it online, app or physical cash. @ZenithBank is another lekki toll gate massacre #NigeriaInfoMCF #NigeriaDecides2023 #Nigerians #NigeriaNews",0,1,,Twitter for iPhone,False
10,1623268457763508226,2023-02-08 10:32:13+00:00,noji_grace,RT @__ginika__: Please if a class action begins against @ZenithBank please tell me so I can be part 🤣🤣🤣,2,0,,Twitter for iPad,False
11,1623268364360511489,2023-02-08 10:31:51+00:00,Lecxi_Brown,Zenith bank nah to close all una branch with immediate effects turn am to church ⛪️. Who’s with me✊#ZenithBank #TransRightsAreHumanRights #moneyslaves @bod_republic,0,1,,Twitter for iPhone,False
12,1623268309285187586,2023-02-08 10:31:38+00:00,mubarrack_,"@Josine66249787 @samuelsilas483 @_dinomelaye @ZenithBank Me I have been managing my last card 2,300 even water i nobdey buy, taxi too na trekbi dey waka because i don't want to finish the naira in my pocket",0,2,Abuja,Twitter for Android,False
13,1623268136366514176,2023-02-08 10:30:57+00:00,Amarach2Liberty,RT @Officially_Kriz: - @ZenithBank the worst bank I've ever seen in my life,2,0,,Twitter for Android,False
14,1623268062752387072,2023-02-08 10:30:39+00:00,AdakaIni,"RT @ChideraEgwuonwu: Don't burn any bank,
Don't burn any petrol station, 
Don't burn Government Properties,
Don't attack any bank staff.
Ta…",10,0,Rivers state,Twitter for Android,False
15,1623268049188007940,2023-02-08 10:30:36+00:00,JohnAjuwon15,Tho is the best news I can hear #ZenithBank #CBN Policy #SupremeCourt https://t.co/Wk2dva9tOe,0,0,,Twitter for iPhone,False
16,1623267958741954560,2023-02-08 10:30:14+00:00,omacollins,"RT @ChideraEgwuonwu: Don't burn any bank,
Don't burn any petrol station, 
Don't burn Government Properties,
Don't attack any bank staff.
Ta…",10,0,,Twitter for Android,False
17,1623267504058499072,2023-02-08 10:28:26+00:00,mosunfabrics,@AliyuAmaka @ZenithBank Have u found any open,0,1,,Twitter Web App,False
