,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
373,1621097803471622145,2023-02-02 10:46:49+00:00,Gotit4lyf,"@Uncleking___ @cenbank @ZenithBank You dey here dey rant , enter bank go show madness clown 🤡",0,0,Krypton,Twitter for iPhone,False
374,1621097788250673157,2023-02-02 10:46:45+00:00,uwaksman,@ZenithBank I did a successful transfer of ₦4456 from my piggybank app to my Zenith account since 8pm of 31st January. This is 2nd January and the money is not in my account yet? I had to trek to my work place cos of this. When am I receiving the money? @cenbank,0,1,"Enugu, Nigeria",Twitter for Android,False
375,1621097766570319872,2023-02-02 10:46:40+00:00,IsraelAwolowo,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,"Sunnyvale, CA",Twitter for Android,False
376,1621097697100050432,2023-02-02 10:46:24+00:00,umarkhalifa19,@NgugiEvuti @ZenithBank I almost wash plates last week,0,0,Akatsuki Hideout,Twitter for iPhone,False
377,1621097689999106048,2023-02-02 10:46:22+00:00,OnyekaMike,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,DM for location🙄,Twitter for Android,False
378,1621097676589895687,2023-02-02 10:46:19+00:00,4oty7even,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,,Twitter for Android,False
379,1621097596705181698,2023-02-02 10:46:00+00:00,ChidinmaObasi9,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,The Father's hangout. ,Twitter for Android,False
380,1621097540732194818,2023-02-02 10:45:46+00:00,Jeyon1,RT @iyawo_Daddy: @ZenithBank any update on @Jeyon1 11.4Million naira????????,1,0,"Lagos, Nigeria",Twitter for Android,False
381,1621097494569705472,2023-02-02 10:45:35+00:00,bigbrunoo_,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Abuja, Nigeria",Twitter for Android,False
382,1621097437954801665,2023-02-02 10:45:22+00:00,bro_sedd,"@ZenithBank I tried recharging airtime through my bank app i was debited and the airtime wasn't credited to my sim, i tried using ussd and i was still debited. reverse my money for me ooooo 
Awaiting your response",0,1,Memeland,Twitter for Android,False
383,1621097400768294914,2023-02-02 10:45:13+00:00,IsaacAyomiotan,"@ZenithBank They transfer money from Scotland Uk to my sister since Tuesday,the money hasn’t reflect in her account till now,why is zenith bank is nothing but disappointment lately",0,1,,Twitter Web App,False
384,1621097389863088128,2023-02-02 10:45:10+00:00,deuce_ad,"@CharlesOTreasu2 @d_wakapass @ZenithBank @002_daniel1 Because u no Know how much of my money they are holding since last 3 months ago, if u do you would second the insult ☹️",0,0,Abuja,Twitter for Android,False
385,1621097365682933760,2023-02-02 10:45:05+00:00,peman85,"@ZenithBank ZIVA is absolutely useless, nothing gets done there 
this is what you get all day... "" Ziva: There is a delay with your request, please hold on""",0,1,"Lagos, Nigeria",Twitter for Android,False
386,1621097356212203522,2023-02-02 10:45:02+00:00,shatta_waris,@Awele71121014 @ZenithBank A tell you 🤦‍♂️,0,1,,Twitter for iPhone,False
387,1621097316722806784,2023-02-02 10:44:53+00:00,RosheTrader,@MarianVictor18 @Morris_Monye A bank that made a guy and his girlfriend dash me ₦200 each yesterday out of pity!!!! @ZenithBank ? I laugh in greek,0,1,"Abuja, Nigeria",Twitter Web App,False
388,1621097285756264449,2023-02-02 10:44:46+00:00,Oyiyaay,what's wrong with @ZenithBank.. please fix up and fish out the mole,0,1,"Lagos, Nigeria",Twitter for iPhone,False
389,1621097245964914688,2023-02-02 10:44:36+00:00,chichi222,@ZenithBank Kindly check ur DM  @ZenithBank,0,0,"Abuja,Nigeria",Twitter for Android,False
390,1621097222602383360,2023-02-02 10:44:31+00:00,_Nache_1,@ZenithBank what's happening do the needful abeg,0,1,Earth ,Twitter for Android,False
391,1621097208249745408,2023-02-02 10:44:27+00:00,karchyee,"RT @ZenithBank: Perform your transactions with ease using any of the following digital banking channels.

#cashlesspayment  #ZenithBank #Di…",63,0,,Twitter for Android,False
392,1621097094579892224,2023-02-02 10:44:00+00:00,Lawi_IA,"RT @NgugiEvuti: I don’t remember being inside a bank hall since the pandemic. 

@ZenithBank una do this one.",1,0,,Twitter for iPhone,False
393,1621097087516516354,2023-02-02 10:43:58+00:00,Lawi_IA,@NgugiEvuti @ZenithBank Me I even tried to go into the banking hall &amp; they said no network,0,0,,Twitter for iPhone,False
394,1621097045669957633,2023-02-02 10:43:48+00:00,ZArmiyau,RT @Onuche_Ojo: @bod_republic @ZenithBank is the most useless. They refuse to return my money since 2021. They are scam.,1,0,"Abuja, Nigeria",Twitter for iPhone,False
395,1621097039177351168,2023-02-02 10:43:47+00:00,alozieaustin1,"@ZenithBank @ZenithBank I have been having issues since yesterday till now, I can't withdraw with my card or do transfer , not to talk of getting airtime for phone ... this is Crazy",0,1,"Lagos, Nigeria",Twitter for Android,False
