,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
0,1620369419276009474,2023-01-31 10:32:29+00:00,james_veni,@lopezbaby4688 @ZenithBank Same issue here,0,1,🌍 ,Twitter for Android,False
1,1620369375831412736,2023-01-31 10:32:18+00:00,SamuelOdiase3,@ZenithBank Na wa ooo #fraud @cenbank  person go just carry him two leg go open Zenith bank 😡😡😡😡😡😡😡😡😡😡😡,0,0,,Twitter for iPhone,False
2,1620369018757746688,2023-01-31 10:30:53+00:00,Empress__Power,"@ZenithBank Good  morning, please what is the maximum amount of money that can be transferred on my zenith app a day?",0,3,,Twitter for Android,False
3,1620368954957905920,2023-01-31 10:30:38+00:00,itzteenahs,@ZenithBank Zenith bank I made a transfer since Friday I debit me  and d receiver never receive alert pls refund my money den,0,3,Nigeria,Twitter for iPhone,False
4,1620368689995603969,2023-01-31 10:29:35+00:00,FulloptionAda,"@ZenithBank @cenbank  Zenith bank Ahmad’s Bello Branch is just stealing from people. The ATM dispenses only 1000 naira and still charge u for that. So if u are withdrawing 20k, u ve to do it 20 times and also be charged 20 times.",0,2,"Abuja, Nigeria",Twitter for iPhone,False
5,1620368481718763521,2023-01-31 10:28:45+00:00,itzteenahs,@Enioluwa_ @ZenithBank pls refund my 10000..or else I go show una shege,0,1,Nigeria,Twitter for iPhone,False
6,1620368377826136066,2023-01-31 10:28:20+00:00,Amzylidanvas,"@ZenithBank Zenith bank again oooo 🥲
I made a transfer from my kuda to zenith and I have been debited from kuda and I haven't received any money",0,2,Ibadan,Twitter for Android,False
7,1620368339217555456,2023-01-31 10:28:11+00:00,AnthonyFredric2,@ZenithBank Please me also debit seen 28/01/2023 till today not yet credited what is the problem zenith bank I'm seen my self out as a customer to you guys like very soon .,0,1,,Twitter for Android,False
8,1620368327234445312,2023-01-31 10:28:08+00:00,_Osaks,@MTNNG &amp; @ZenithBank think I’m a joke but I will either get my data or I’ll get my money back. Since Saturday that I bought data. Money went &amp; data never came in. Zenith is telling me 48-72hrs after waiting since Saturday. How the hell am I supposed to work?? I hate this country.,0,2,Here,Twitter for iPhone,False
9,1620367984463343616,2023-01-31 10:26:47+00:00,UgohDonald,"@SakasticBET @UBACares is better, @myaccessbank  and @ZenithBank  are the most messed up bank currently..",0,0,Beside You,Twitter for Android,False
10,1620367652882628609,2023-01-31 10:25:28+00:00,shes_thaFinest,Zenith bank will mess someone up @zenithbank,1,3,"Abuja, Nigeria",Twitter for iPhone,False
11,1620367361344946182,2023-01-31 10:24:18+00:00,shes_thaFinest,Let’s pray against the spirit of @ZenithBank,0,1,"Abuja, Nigeria",Twitter for iPhone,False
12,1620367135259197440,2023-01-31 10:23:24+00:00,olayink48715461,@ZenithBank ZenithBank you people are real scammers for debit 200k and refused to reverse my money since July 03 2022,0,0,,Twitter for Android,False
13,1620367005894463488,2023-01-31 10:22:53+00:00,GodwinMichaelk1,"Please why do we have to suffer in order to collect our own hard earned money, we're not begging for loans, we're only asking for our money, is that too much to ask. This is not the kind of country we hoped for.

#CBN 
#Gtbank 
#ZenithBank",0,2,"Lagos, Nigeria",Twitter Web App,False
14,1620366941679685633,2023-01-31 10:22:38+00:00,gbemle,"@topeatiba @ZenithBank Tope, transfer all that money into my account for safe keeping",0,1,Lagos,Twitter for Android,False
15,1620366660803907584,2023-01-31 10:21:31+00:00,_gbeminiyi,@EmilyyOG___ @ZenithBank Lmao it is o,0,0,"Lagos, Nigeria",Twitter for iPhone,False
16,1620366037836505088,2023-01-31 10:19:03+00:00,Ahmadgimba111,@ZenithBank Good morning,0,1,,Twitter for Android,False
17,1620365663838810112,2023-01-31 10:17:33+00:00,amarachicanice,"@UjuAnya Monday was bad. Couldn't withdraw from ATM so I went to @ZenithBank to withdraw over the counter, they didn't have cash. Their mobile app was down, the code wasn't working so I couldn't pay for food. I didn't get cash till 5pm after standing line for 45mins. Horrible day.",0,0,,Twitter for Android,False
18,1620365600353828864,2023-01-31 10:17:18+00:00,BainShehu,Made recharge using the app and was debited but not credited with the airtime and it has not been reversed @ZenithBank,0,1,,Twitter for Android,False
19,1620365358011150338,2023-01-31 10:16:20+00:00,serenadorcas,"RT @ZenithBank: Stay vigilant!
Scammers will do anything to gain access into your account.

#ZenithBank #Fraud #AccountSafety #GoodMorning…",10,0,"Lagos, Nigeria",Twitter for Android,False
20,1620365106705227777,2023-01-31 10:15:21+00:00,QueenZARAMuham1,@ZenithBank Please zenith someone send me money haven't gotten my money yet,0,3,"Lagos, Nigeria",Twitter for Android,False
21,1620364823883309056,2023-01-31 10:14:13+00:00,Soniachidi,"@ZenithBank bank refund my money @FirstBankngr is like thunder want to fire you people you better allow my money reflect, I’m sick and tired of this rubbish, is it a crime to be Nigerian what is it",0,1,Pluto ,Twitter for iPhone,False
22,1620364677602758659,2023-01-31 10:13:38+00:00,drsilva001,"Is there any banking app that works? AccessMore I once praised have disappointed too.
Pay your developers @myaccessbank @ZenithBank",0,3,"United States, Anambra, Abuja",Twitter for iPhone,False
23,1620364125535870976,2023-01-31 10:11:27+00:00,Uzomaskyrino,So @ZenithBank @UBAGroup @myaccessbank @FirstBankngr @UnityBankPlc @wemabank @UNIONBANK_NG @gtbank @fidelitybankplc @MyFCMB @Citibank @TitanTrustBank @keystonebankng @heritagebankplc @ecobank_nigeria @PolarisBankLtd and others have refused to give the public New Notes @cenbank https://t.co/bdLYWHCVz4,0,0,"Abuja, Nigeria",Twitter for Android,False
24,1620364078643576833,2023-01-31 10:11:15+00:00,AhmedAl95161759,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/cflMRtw48Q",231,0,,Twitter for Android,False
25,1620363354492788736,2023-01-31 10:08:23+00:00,Chii_Ofor,@lizezeobele1 @ZenithBank U should take action without delay,0,1,,Twitter for Android,False
26,1620363243947716613,2023-01-31 10:07:56+00:00,tobaibai,"@ZenithBank now that your Cards can’t pay for Apple Music anymore, are you happy now🤡🤡",0,2,,Twitter for iPhone,False
27,1620363157071101958,2023-01-31 10:07:36+00:00,Saintdahpaul,@ZenithBank please I want to have a token,0,1,,Twitter for Android,False
28,1620362963071959048,2023-01-31 10:06:49+00:00,Mpompo_Nwa1,"@ZenithBank 0704 044 2377
Is chatting me and he was able to lock my account, i can’t transfer or withdraw",0,0,"Lagos, Nigeria",Twitter Web App,False
29,1620362876266622979,2023-01-31 10:06:29+00:00,senddown_derain,"The most useless bank in Jan 2023 is @ZenithBank... Imagine me buying data from my acct since 29th  til now I didn't c data talkless of getn back my money.. they told me to wait for 3-5 working days, Lori elo?? someone sent me money for d past 2hrs til nw I never c d money",0,2,"Lagos,Nigeria",Twitter for Android,False
30,1620362439094317056,2023-01-31 10:04:45+00:00,Ojofficial8,"@ZenithBank wtf is wrong with u guys ?
U guys should release my money now , I need my money ,what's all this now.",0,4,Banana island Lagos,Twitter for Android,False
31,1620362390041952256,2023-01-31 10:04:33+00:00,tomjames2242,@ZenithBank @ZenithBank how I go use chop now.. money I won use go market..,0,3,,Twitter for Android,False
32,1620362310312230912,2023-01-31 10:04:14+00:00,achimuguikagu,@ZenithBank After our complaints are resolved.,0,2,,Twitter for Android,False
33,1620362306894073859,2023-01-31 10:04:13+00:00,salami_isaacnas,"Dear @ZenithBank @UNIONBANK_NG I am appalled by the fact that I can’t access my legitimate funds in my account since on Sunday, 29th, January, 2023. No money in all your ATM and no money at the banking hall. Yet we see videos of new notes been sprayed everywhere. 
cc @cenbank",0,4,"Abuja, Nigeria",Twitter for iPhone,False
34,1620362267887009792,2023-01-31 10:04:04+00:00,Lenny_plush,"@Enioluwa_ Tag them, it’s @ZenithBank always quick to debit, but slow to credit .. make una no make me come that bank oh!",0,6,"Abuja, Nigeria",Twitter for iPhone,False
35,1620361980782723078,2023-01-31 10:02:55+00:00,JAS2GREEN,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/cflMRtw48Q",231,0,"Lagos, Nigeria",Twitter for Android,False
36,1620361549817999362,2023-01-31 10:01:12+00:00,QueenZARAMuham1,"@ZenithBank 
Hello zenith bank someone sent me money the person has been debited and haven't received the money yet please help",0,2,"Lagos, Nigeria",Twitter for Android,False
37,1620361545330098176,2023-01-31 10:01:11+00:00,DrJesseglee,"A this point, @ZenithBank needs total cleansing and deliverance.",0,3,New Nigeria,Twitter for Android,False
