,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
0,1.62E+18,2023-01-30 10:06:43+00:00,iamAbode,@EliteTweets01 @ZenithBank Lol,0,0,Worldwide,Twitter for Android,FALSE
1,1.62E+18,2023-01-30 10:06:10+00:00,mizluminous,"@ZenithBank I just came back from one of your branches now, and guys refused to give customers either new or old notes both at the ATM machines and in the banking hall. It's so annoying 😡",0,0,"Lagos, Nigeria",Twitter for Android,FALSE
2,1.62E+18,2023-01-30 10:06:09+00:00,Aramunsh,@oluwagentle0 @ZenithBank 4K??? Dat na person salary itself. You just pay.,0,0,,Twitter for iPhone,FALSE
3,1.62E+18,2023-01-30 10:06:00+00:00,victorobiefuna,"Dear @gtbank @gtbank_help and @ZenithBank have you seen the way Jaiz bank is trending for the right reasons? All you do is trend for very wrong reasons. Stop being criminal, greedy with interests, and selfish. Start doing the right things now.",0,0,,Twitter for Android,FALSE
4,1.62E+18,2023-01-30 10:04:57+00:00,OJA_Azinmagba,E no go better for the people wey dey rate @ZenithBank as bank of the year.,0,0,Lagos Nigeria,Twitter for iPhone,FALSE
5,1.62E+18,2023-01-30 10:04:41+00:00,ChukuTv,"@ZenithBank Abeg refund all the pending transactions.

Make Blood No Flow Today",0,0,"Rivers, Nigeria",Twitter for Android,FALSE
6,1.62E+18,2023-01-30 10:04:31+00:00,PeterChinonso10,"@AmobiOzoude @ZenithBank My own lasted for two months. And another one happened two days ago, God knows how long this one will last.",0,0,"Federal Capital Territory, Nig",Twitter for Android,FALSE
7,1.62E+18,2023-01-30 10:04:22+00:00,_Charhetey,"@ZenithBank Wait oh, are you people trying to tell me that my bank has scammed me?
Abeg oh make Una refund me less I will be left with no option than to deactivate my account #ZenithBank 
#ScamAlert",0,1,"Lagos, Nigeria",Twitter for iPhone,FALSE
8,1.62E+18,2023-01-30 10:03:50+00:00,oganapaschal,RT @AmobiOzoude: @ZenithBank Why are you guys not returning failed POS transaction even after visiting your branch.. more than 1 month now.…,1,0,"Abuja, Nigeria",Twitter for iPhone,FALSE
9,1.62E+18,2023-01-30 10:03:16+00:00,Aramunsh,@harjhyke1 @Talk_ToOpeyemi @ZenithBank Sorry pele we gathered they ni. Don’t waste your time if you have something important to do just leave am dormant. When you get free time then you can go ahead. Make u no go just dey wait for bank.,0,1,,Twitter for iPhone,FALSE
10,1.62E+18,2023-01-30 10:02:57+00:00,iamziggyblaze,@ZenithBank I’ve had an issue almost 6months now with no resolve. #poorservice,0,1,"Lagos, Nigeria",Twitter for iPhone,FALSE
11,1.62E+18,2023-01-30 10:01:26+00:00,Lohbyen_Wuyep,RT @Jaydon225: I'm currently in a @ZenithBank branch to withdraw over the counter (cos ATMs are still dispensing old notes). They are only…,18,0,"Abuja, Nigeria",Twitter for iPhone,FALSE
12,1.62E+18,2023-01-30 10:01:15+00:00,_Charhetey,"@ZenithBank Just imagine Wetin bank wey win Award of the year dey tell me. Please refund me so I can pay for my flight, I’ve contacted the receiver and they’ve said I’ve no business with them https://t.co/EjGBa5JYxm",0,3,"Lagos, Nigeria",Twitter for iPhone,FALSE
13,1.62E+18,2023-01-30 09:59:54+00:00,OluchiFriday7,@ZenithBank But you people still gives us old naira notes in the banking hall,0,1,,Twitter for Android,FALSE
14,1.62E+18,2023-01-30 09:59:29+00:00,afor_tobechukwu,"RT @ZenithBank: Important Public Notice!

#ZenithBank #NewNairaNotes #NairaRedesign #2023 #Nigeria #CBN https://t.co/cflMRtw48Q",16,0,"Imo, Nigeria",Twitter for Android,FALSE
15,1.62E+18,2023-01-30 09:59:02+00:00,emmanue48144084,"@ZenithBank I was debited this morning and did got credited to the destination..
2264692858
Ojetunde Emmanuel https://t.co/0t0Uk1FuSv",0,2,"Lagos, Nigeria",Twitter for Android,FALSE
16,1.62E+18,2023-01-30 09:58:35+00:00,emmanue48144084,"@ZenithBank I was debited this morning and did got credited to the destination..
2264692858
Ojetunde Emmanuel https://t.co/KIV6wuR8zl",0,2,"Lagos, Nigeria",Twitter for Android,FALSE
17,1.62E+18,2023-01-30 09:58:30+00:00,KevinDeroerk,"@AmobiOzoude @ZenithBank Honestly am done with this bank,20k since December I haven’t received it",0,3,🇨🇦Canada,Twitter for iPhone,FALSE
18,1.62E+18,2023-01-30 09:58:14+00:00,DaisyMae__x,@ZenithBank  I’ll carry on calling this stupid bank out thieves .. please put my money back how can you take 500K of my own money ..,0,2,United Kingdom,Twitter for iPhone,FALSE
19,1.62E+18,2023-01-30 09:58:00+00:00,d_dubbie,RT @KLAZEMATICS: Hi @ZenithBank you have successfully stolen 25 dollars from my prepaid account and I would like to know why.,3,0,,Twitter for iPhone,FALSE
20,1.62E+18,2023-01-30 09:57:14+00:00,_Charhetey,"@ZenithBank REFUND ME!!!! How una go debit me and I Dey try contact Una, e no come dey connect https://t.co/XLOeC7gIyW",0,2,"Lagos, Nigeria",Twitter for iPhone,FALSE
21,1.62E+18,2023-01-30 09:57:06+00:00,adamEyeAm,"@ZenithBankMck @KLAZEMATICS Lmao.
Scammers Club. 
@ZenithBank should report this.🤣",0,0,Jupiter,Twitter for Android,FALSE
22,1.62E+18,2023-01-30 09:56:25+00:00,confirmtop,You will not arrest @OPay_NG  @OPaySupport and @ZenithBank for me like this they are scam and steal from Nigerian since 8/3/2022 they refuse to refund my money and when ever I call opay Dey hang up on me after given them ticket ID. @cenbank @officialEFCC,0,2,Nigeria,Twitter for iPhone,FALSE
23,1.62E+18,2023-01-30 09:55:56+00:00,nel_cornon,"RT @a_ma_ka__: Good pm,this is an update abt  the @ZenithBank issue. I was credited 3,239,400 last week.Remaining the 800,500 dat they init…",1631,0,Lagos Nigeria,Twitter for Android,FALSE
